# ----------------------------------------
# ユーザー獲得: ユーザーの最初の参照元 / メディア
# アカウント: www.wingarc.com
# プロパティ: https://www.wingarc.com - GA4
# ----------------------------------------
# 
# すべてのユーザー
# 開始日: 20260401
# 終了日: 20260430
ユーザーの最初の参照元 / メディア,月,総ユーザー数,新規ユーザー数,リピーター数,アクティブ ユーザーあたりの平均エンゲージメント時間,エンゲージメントのあったセッション数（1 アクティブ ユーザーあたり）,イベント数,キーイベント,ユーザー キーイベント率
jpc-excel.officeapps.live.com / referral,04,12,11,6,143.83333333333334,1.25,269,17,0.16666666666666666
jsol.co.jp / referral,04,12,12,0,53.333333333333336,0.8333333333333334,61,0,0
monex.ifis.co.jp / referral,04,12,12,2,34.583333333333336,0.9166666666666666,102,0,0
ecosia.org / organic,04,11,9,3,14.8,0.4,70,0,0
news.google.com / referral,04,11,10,2,47.72727272727273,0.6363636363636364,48,0,0
prisma-cp.paprisma:6082 / referral,04,11,11,2,29.727272727272727,0.7272727272727273,52,0,0
repo.svfcloud.com / referral,04,11,6,7,72.54545454545455,1.1818181818181819,117,2,0.09090909090909091
tamadentcom.transprint.spa-cloud.com / referral,04,11,9,1,12.3,0.5,63,6,0.3
claude.ai / referral,04,10,10,5,24.1,0.6,62,0,0
lm.facebook.com / referral,04,10,10,0,4.8,0.4,35,0,0
necap-seikyu.transprint.spa-cloud.com / referral,04,10,8,2,9.6,0.2,40,0,0
oilesjp.sharepoint.com / referral,04,10,7,4,16,0.4,40,0,0
perplexity / (not set),04,10,10,0,3.6,0.3,42,2,0.1
qiita.com / referral,04,10,7,5,65.33333333333333,0.7777777777777778,93,4,0.1111111111111111
safe.menlosecurity.com / referral,04,10,8,5,502.8,1,137,15,0.3
aggkansaij.transprint.spa-cloud.com / referral,04,9,9,0,13.88888888888889,0.4444444444444444,44,2,0.1111111111111111
commmuneapp.page.link / referral,04,9,0,5,801.2,5.8,334,9,0.2
fb / banner,04,9,0,4,92.75,2.25,83,23,1
itc-uc.transprint.spa-cloud.com / referral,04,9,8,1,4.777777777777778,0.1111111111111111,35,0,0
japan-it.jp / referral,04,9,9,2,41.22222222222222,1,92,2,0.1111111111111111
jwsearch.jword.jp / referral,04,9,9,2,78.22222222222223,0.7777777777777778,48,2,0.1111111111111111
l.facebook.com / referral,04,9,8,2,140.44444444444446,1.2222222222222223,109,5,0.1111111111111111
mail.google.com / referral,04,9,9,4,180.88888888888889,1.1111111111111112,187,2,0.2222222222222222
note.com / referral,04,9,8,1,26.75,0.5,43,0,0
notebooklm.google.com / referral,04,9,9,3,16.22222222222222,0.7777777777777778,47,0,0
openai / (not set),04,9,9,0,24.11111111111111,0.3333333333333333,42,0,0
aspicjapan.org / referral,04,8,5,6,154.14285714285714,1.2857142857142858,119,0,0
bing / (not set),04,8,8,0,7.75,0.125,25,0,0
fmv.com / referral,04,8,8,1,55,0.75,32,0,0
google / (not set),04,8,8,0,1.875,0.125,36,1,0.125
hitachi.co.jp / referral,04,8,4,3,23.8,0.6,43,0,0
jmsc.co.jp / referral,04,8,8,1,24.125,0.875,47,0,0
openwork.jp / referral,04,8,8,1,31.375,0.875,84,9,0.25
ribiyo-takeda.transprint.spa-cloud.com / referral,04,8,7,1,4.625,0.125,30,0,0
search.nortonsafesearch.com / referral,04,8,8,0,69.125,0.875,37,0,0
svazia-invoiceagent-chori-tp.transprint.spa-cloud.com / referral,04,8,8,1,1.75,0,32,0,0
web1.dc.nissin.co.jp / referral,04,8,7,1,10.142857142857142,0.14285714285714285,32,0,0
yahoo / (not set),04,8,8,0,0,0,24,0,0
canare.transprint.spa-cloud.com / referral,04,7,5,1,12.166666666666666,0.5,38,4,0.3333333333333333
chuo-glass.transprint.spa-cloud.com / referral,04,7,7,0,23.285714285714285,0.42857142857142855,34,2,0.14285714285714285
depart-inc.com / referral,04,7,6,2,15.857142857142858,0.5714285714285714,36,0,0
em.cybozu.co.jp / referral,04,7,1,5,67,1.1666666666666667,79,4,0.3333333333333333
inochio.transprint.spa-cloud.com / referral,04,7,7,0,2.2857142857142856,0.14285714285714285,26,0,0
jpc-powerpoint.officeapps.live.com / referral,04,7,7,1,11.857142857142858,0.42857142857142855,32,0,0
kpc.transprint.spa-cloud.com / referral,04,7,6,0,3.8333333333333335,0.5,32,2,0.16666666666666666
kuwazawa.transprint.spa-cloud.com / referral,04,7,7,0,3.142857142857143,0.14285714285714285,25,0,0
localhost:44090 / referral,04,7,7,1,15.571428571428571,0.8571428571428571,95,3,0.14285714285714285
maruei-con.transprint.spa-cloud.com / referral,04,7,5,2,3.142857142857143,0.14285714285714285,25,0,0
member.rakuten-sec.co.jp / referral,04,7,7,4,115.85714285714286,1.2857142857142858,105,0,0
oiles.transprint.spa-cloud.com / referral,04,7,6,0,6.166666666666667,0.6666666666666666,43,6,0.16666666666666666
wingarc1st.atlassian.net / referral,04,7,0,6,251.66666666666666,4.166666666666667,205,4,0.16666666666666666
yodoko.transprint.spa-cloud.com / referral,04,7,7,1,11.714285714285714,0.2857142857142857,32,0,0
zenrin-transprint.transprint.spa-cloud.com / referral,04,7,5,1,3.5,0.16666666666666666,27,0,0
10.72.112.103:8180 / referral,04,6,6,0,4.833333333333333,0,24,0,0
192.168.100.2 / referral,04,6,6,1,34.833333333333336,1,45,0,0
AppExchange / external,04,6,6,1,17.333333333333332,0.5,37,0,0
aggthk.transprint.spa-cloud.com / referral,04,6,5,1,5.333333333333333,0.16666666666666666,30,2,0.16666666666666666
chatluck.ad.kscom.co.jp / referral,04,6,1,6,90.66666666666667,1,65,0,0
cs.wingarc.com / referral,04,6,6,2,7.166666666666667,0.8333333333333334,36,0,0
drsum.asia / referral,04,6,5,2,157,0.8333333333333334,56,0,0
hrmos.co / referral,04,6,5,4,80.83333333333333,1.3333333333333333,100,0,0
i-sedai.transprint.spa-cloud.com / referral,04,6,5,1,5.833333333333333,0.3333333333333333,36,4,0.3333333333333333
jp.pinterest.com / referral,04,6,6,0,8.333333333333334,0.3333333333333333,23,0,0
kids.yahoo.co.jp / referral,04,6,6,0,23.833333333333332,0.6666666666666666,23,0,0
kuuki.transprint.spa-cloud.com / referral,04,6,2,4,3.5,0.16666666666666666,22,0,0
nextgeeker.com / referral,04,6,6,2,164.33333333333334,0.5,28,0,0
nikkei.com / referral,04,6,6,0,45.5,1,30,0,0
umetoku.transprint.spa-cloud.com / referral,04,6,4,2,6.833333333333333,0.3333333333333333,22,0,0
yonyaku.transprint.spa-cloud.com / referral,04,6,3,3,6.666666666666667,0.3333333333333333,20,0,0
118.238.9.166 / referral,04,5,5,0,0.4,0.2,16,0,0
almt-ia.transprint.spa-cloud.com / referral,04,5,4,1,3.4,0.4,19,0,0
avxxfvcc / fkgfeaby,04,5,6,0,26.6,0.8,22,0,0
chemi-con.transprint.spa-cloud.com / referral,04,5,5,0,10.4,0.6,26,2,0.2
copilot.com / (not set),04,5,5,0,55.8,0.2,33,2,0.2
euc-excel.officeapps.live.com / referral,04,5,5,3,10.4,0.6,35,0,0
foomajapan.jp / referral,04,5,5,1,56,0.6,34,0,0
fujita-kz.transprint.spa-cloud.com / referral,04,5,4,0,19,0.25,18,0,0
globaldenso.sharepoint.com / referral,04,5,3,2,7,0.6,25,0,0
ipm-invoiceportal.transprint.spa-cloud.com / referral,04,5,4,1,14,0.75,22,0,0
jpn.nec.com / referral,04,5,5,1,29.2,0.6,30,0,0
jtk.transprint.spa-cloud.com / referral,04,5,5,0,4.8,0.2,18,0,0
kaizenbu.i-reporter.jp / referral,04,5,4,2,107,0.8,67,0,0
kansai-td-invoice.transprint.spa-cloud.com / referral,04,5,4,1,8,0.6,24,2,0.2
kcmail.konoike.co.jp / referral,04,5,5,1,119,0.6,30,0,0
kitagawa-corp.cybozu.com / referral,04,5,5,4,161.2,1.2,123,0,0
linkedin.com / referral,04,5,4,0,11,0.5,18,0,0
mentena.biz / referral,04,5,5,0,21.6,0.8,19,0,0
noritakegroup.transprint.spa-cloud.com / referral,04,5,4,1,17,0.6,22,0,0
scsk.jp / referral,04,5,5,2,38.6,1,27,0,0
shinetsudensen.transprint.spa-cloud.com / referral,04,5,5,1,54.2,0.4,35,2,0.2
site3.sbisec.co.jp / referral,04,5,5,1,102.4,1.4,105,0,0
wingarc1st.my.salesforce.com / referral,04,5,0,4,398,5.5,235,4,0.25
ydn / display,04,5,0,4,22.25,1.25,36,2,0
(not set) / cpc,04,4,4,1,52.5,0.75,35,0,0
MONOist / external,04,4,3,1,15.25,0.75,25,0,0
ZBABvfg / fkgfeaby,04,4,4,0,29,0.75,16,0,0
app.msetsu.com / referral,04,4,4,1,6,0.75,24,0,0
as-cp.com / referral,04,4,1,3,64,1,35,0,0
boxil / banner,04,4,4,0,21.25,0.75,23,2,0.25
gibiru.com / referral,04,4,4,0,3,0,15,0,0
gkt / cpc,04,4,4,0,0,0,12,0,0
goodproductionsjp.com / referral,04,4,2,3,207.5,2.5,113,0,0
info.wingarc.com / referral,04,4,3,2,9.25,0.75,18,0,0
kaikatsu.jword.jp / referral,04,4,4,1,7,0.5,17,0,0
kanematsu.transprint.spa-cloud.com / referral,04,4,4,0,1.75,0,14,0,0
microsoft / cpc,04,4,0,4,158,1.5,52,0,0
monex-shikiho.kabumap.com / referral,04,4,4,0,50.5,1,33,0,0
nagashima.transprint.spa-cloud.com / referral,04,4,3,1,5,0.25,14,0,0
