# ----------------------------------------
# ユーザー獲得: ユーザーの最初の参照元 / メディア
# アカウント: www.wingarc.com
# プロパティ: https://www.wingarc.com - GA4
# ----------------------------------------
# 
# すべてのユーザー
# 開始日: 20230401
# 終了日: 20240331
ユーザーの最初の参照元 / メディア,月,総ユーザー数,新規ユーザー数,リピーター数,アクティブ ユーザーあたりの平均エンゲージメント時間,エンゲージメントのあったセッション数（1 アクティブ ユーザーあたり）,イベント数,キーイベント,ユーザー キーイベント率
yrmk / display,04,102,92,9,18.917525773195877,0.18556701030927836,381,0,0
survey-z.com / referral,01,101,101,5,32.07920792079208,0.7920792079207921,547,0,0
ydn / display,05,99,98,9,8.252525252525253,0.1717171717171717,394,0,0
ydsa / cpc,06,96,61,35,82.01052631578948,0.6842105263157895,630,2,0.021052631578947368
ydsa / cpc,05,93,58,30,66.6923076923077,0.6813186813186813,514,0,0
yrmk / display,05,87,79,5,6.841463414634147,0.17073170731707318,304,0,0
ydn / display,04,84,81,2,2.9523809523809526,0.14285714285714285,271,0,0
ydsa / cpc,04,83,51,29,61.46341463414634,0.5975609756097561,465,0,0
ydsa / cpc,01,80,57,20,57.44303797468354,0.9240506329113924,408,0,0
ydsa / cpc,03,78,58,18,51.285714285714285,0.8181818181818182,383,0,0
ydn / display,06,76,70,13,9.263157894736842,0.2894736842105263,384,3,0.02631578947368421
visitor.it-week.rxmesse.jp / referral,12,75,47,15,59.95945945945946,1.0810810810810811,427,0,0
service.smt.docomo.ne.jp / referral,01,74,74,6,76.10810810810811,0.6216216216216216,323,0,0
ydsa / cpc,12,69,34,27,79.05882352941177,1.0441176470588236,376,0,0
service.smt.docomo.ne.jp / referral,02,67,66,4,37.17910447761194,0.5522388059701493,259,0,0
service.smt.docomo.ne.jp / referral,08,63,61,7,65.19672131147541,0.5901639344262295,265,0,0
ydsa / cpc,09,63,34,16,29.37704918032787,0.6721311475409836,253,0,0
service.smt.docomo.ne.jp / referral,03,59,58,4,67.38983050847457,0.559322033898305,245,0,0
service.smt.docomo.ne.jp / referral,10,58,56,3,78.60344827586206,0.6379310344827587,230,0,0
service.smt.docomo.ne.jp / referral,12,58,56,8,55.53448275862069,0.5,239,0,0
service.smt.docomo.ne.jp / referral,11,57,54,7,50.92857142857143,0.6607142857142857,243,0,0
ydsa / cpc,11,53,17,32,100.5,1.2307692307692308,370,0,0
ydsa / cpc,10,52,25,26,83.3076923076923,1.1923076923076923,428,0,0
service.smt.docomo.ne.jp / referral,07,51,48,8,71.54901960784314,0.6078431372549019,275,0,0
yrmk / display,10,50,48,3,5.163265306122449,0.12244897959183673,179,0,0
ydn / display,03,49,47,0,0.3541666666666667,0.0625,152,0,0
ydsa / cpc,02,47,25,20,44.87234042553192,0.8085106382978723,245,0,0
statics.teams.cdn.office.net / referral,10,46,21,24,102.02272727272727,1.0681818181818181,296,0,0
statics.teams.cdn.office.net / referral,08,45,23,25,49.25,0.65,260,0,0
service.smt.docomo.ne.jp / referral,09,44,43,1,72.88636363636364,0.6818181818181818,177,0,0
ydsa / cpc,08,44,24,20,42.58139534883721,0.6511627906976745,211,0,0
ydsa / cpc,07,43,22,16,77.23809523809524,0.6904761904761905,273,0,0
statics.teams.cdn.office.net / referral,09,42,27,24,66.075,0.9,250,0,0
yrmk / display,02,41,39,0,0.95,0.05,131,0,0
service.smt.docomo.ne.jp / referral,06,40,39,1,70.55,0.475,166,0,0
smartnews.com / referral,02,40,33,0,11.9,0.55,150,0,0
statics.teams.cdn.office.net / referral,06,40,26,18,88.3157894736842,0.6842105263157895,230,0,0
yrmk / display,01,40,38,1,4.564102564102564,0.15384615384615385,134,0,0
yrmk / display,11,40,38,2,10.564102564102564,0.1282051282051282,148,0,0
statics.teams.cdn.office.net / referral,11,39,18,22,44.39473684210526,0.8947368421052632,215,0,0
nikkan / external,01,38,0,10,169.60526315789474,1,150,0,0
service.smt.docomo.ne.jp / referral,04,38,38,4,54.21052631578947,0.5,146,0,0
statics.teams.cdn.office.net / referral,05,38,19,22,153.11111111111111,0.8888888888888888,401,0,0
yrmk / display,12,38,37,1,2.9473684210526314,0.13157894736842105,123,0,0
ydn / display,08,35,32,2,1.7941176470588236,0.058823529411764705,111,0,0
service.smt.docomo.ne.jp / referral,05,34,33,4,69.8529411764706,0.5882352941176471,159,0,0
statics.teams.cdn.office.net / referral,07,33,18,19,80.33333333333333,0.8181818181818182,259,0,0
statics.teams.cdn.office.net / referral,12,31,14,20,93.24137931034483,1.0344827586206897,208,0,0
